arg-id,x,y,probability,cluster-id
A1_0,2.4388852,7.9763007,0.0,3
A2_0,6.021451,6.5854993,1.0,1
A3_0,2.2008057,7.7431555,1.0,3
A4_0,2.168657,7.770841,1.0,3
A5_0,2.877113,8.1800995,0.0,3
A6_0,2.965393,6.8589277,0.7254437064752037,4
A7_0,1.5063738,6.753612,1.0,0
A8_0,5.5691853,6.7821608,0.0,1
A9_0,3.3136694,7.3643723,0.0,3
A11_0,2.5421996,6.7891135,1.0,4
A13_0,4.541917,8.579621,1.0,2
A14_0,4.2461586,6.7514534,1.0,2
A15_0,4.304028,6.542461,1.0,2
A16_0,0.17953692,5.8481193,0.5655442114553205,0
A17_0,-0.058906514,5.8950734,1.0,0
A18_0,0.008966051,5.8288965,0.7283095667129278,0
A19_0,0.14592943,6.6491995,1.0,0
A20_0,0.09475625,6.433912,1.0,0
A21_0,-0.025475895,6.3696566,1.0,0
A22_0,1.6278104,8.572711,1.0,5
A23_0,0.65695214,6.4534545,1.0,0
A24_0,0.7463593,6.577114,1.0,0
A25_0,4.4111385,6.561235,1.0,2
A27_0,4.556308,7.655007,0.0,2
A28_0,4.3433585,7.609433,1.0,2
A29_0,3.0247462,7.961119,1.0,3
A30_0,2.5120237,8.739614,0.0,3
A31_0,0.8734354,7.061417,0.0,5
A32_0,2.5105348,7.4389853,0.7646712735602733,3
A33_0,0.87580085,7.5110126,1.0,5
A34_0,0.3427746,7.1886907,0.0,5
A35_0,3.1388507,8.476988,1.0,3
A36_0,3.9115994,6.378873,0.7067636673841398,2
A37_0,5.7262855,7.8621454,1.0,1
A38_0,5.787361,8.435181,1.0,1
A39_0,5.4037986,6.3175025,0.0,1
A40_0,0.7879991,6.4288015,1.0,0
A41_0,6.422809,6.864389,0.850120563754914,1
A42_0,4.8259506,8.369533,1.0,2
A43_0,2.877501,8.535692,0.9689752201089824,3
A44_0,1.0350236,7.8490095,1.0,5
A45_0,3.3129196,8.38578,1.0,3
A46_0,5.9376616,8.213614,1.0,1
A47_0,-0.18040451,5.8656297,1.0,0
A48_0,0.9125766,8.021488,0.7791556851516768,5
A49_0,0.72445965,7.623031,0.9559820974897018,5
A50_0,5.778626,8.347319,1.0,1
A51_0,2.6809232,7.294337,0.7646712735602733,4
A52_0,1.0961555,6.5230346,0.435220178395839,0
A53_0,6.229591,6.462395,1.0,1
A54_0,5.644098,7.4300413,0.9127699779866669,1
A55_0,1.2946355,8.104594,0.7704451757998548,5
A56_0,6.638552,7.2592945,1.0,1
A57_0,3.0511267,5.98058,0.0,4
A58_0,-0.19228649,5.7989864,0.7604929858884045,0
A59_0,2.4278944,8.476134,1.0,3
A60_0,2.430795,6.906561,1.0,4
A61_0,3.4336116,6.5109386,0.8397718901097121,4
A63_0,3.9167879,8.282963,0.0,3
A65_0,1.8996602,7.4790063,0.0,3
A66_0,4.4414935,7.059711,0.6899737231812508,2
A67_0,1.9453293,6.224749,0.0,4
A68_0,2.4523034,6.712482,1.0,4
A69_0,2.4386723,7.961203,0.8155450967883164,3
A70_0,1.5793271,7.7379355,0.0,5
A71_0,5.95909,6.8739634,0.9185946520674432,1
A72_0,4.012525,6.002637,0.6463983466272423,2
A73_0,2.7545967,7.8750844,1.0,3
A74_0,3.5899732,7.721687,0.0,3
A75_0,4.28975,6.156431,0.7630784398960049,2
A76_0,4.1626534,6.4609466,0.9533078337682056,2
A77_0,4.5191007,8.491812,1.0,2
A78_0,4.199103,7.4052625,1.0,2
A79_0,4.4902363,6.969823,0.7688336484350397,2
A80_0,2.03795,8.668822,0.7205062609300037,3
A81_0,2.3392267,8.295344,1.0,3
A82_0,6.3637657,7.0803204,1.0,1
A83_0,6.5418816,7.308141,1.0,1
A84_0,3.9905183,6.726289,0.7961029292936772,2
A85_0,3.1435719,7.800875,1.0,3
A86_0,2.921795,7.7157273,1.0,3
A87_0,5.647958,8.023975,1.0,1
A88_0,6.1979895,7.1737804,0.747584503638299,1
A89_0,1.9500012,7.822857,1.0,3
A90_0,1.5323789,8.466021,0.7521135634348103,5
A91_0,2.692039,7.691121,1.0,3
A92_0,4.0413237,7.185842,0.6001195328474688,2
A93_0,5.704984,7.3377585,0.9078953911145657,1
A94_0,6.0124245,7.6167774,1.0,1
A95_0,1.7418005,6.9003754,1.0,4
A96_0,6.2788787,6.932412,1.0,1
A97_0,6.1274567,7.676635,1.0,1
A98_0,3.5391579,6.063019,0.0,4
A99_0,3.2539613,7.995446,1.0,3
A100_0,6.517122,6.5430255,0.0,1
A101_0,1.3141425,6.908934,1.0,5
A102_0,5.362533,8.456549,0.8762064638382985,1
A103_0,0.067075245,6.0384254,0.5749459721949496,0
A104_0,1.071486,8.344782,0.7791556851516768,5
A105_0,6.604743,7.289855,1.0,1
A106_0,6.7338853,7.3748775,0.7005078849698579,1
A107_0,2.7181993,7.0608153,0.7116255482662975,4
A108_0,7.081412,7.148158,0.7245986556266883,1
A109_0,3.0004096,6.732904,1.0,4
A110_0,3.1930075,6.51537,0.9438083396881266,4
A111_0,1.9293799,8.538414,1.0,3
A112_0,1.0130851,7.569187,1.0,5
A113_0,6.4673014,7.806521,0.0,1
A114_0,3.2207386,6.677769,1.0,4
A115_0,6.7287207,6.855485,0.7839756242643805,1
A116_0,6.8908715,6.808904,1.0,1
A117_0,3.235472,8.721524,1.0,3
A118_0,6.897696,7.4788756,0.5582020101722477,1
A119_0,6.945198,7.0104027,1.0,1
A120_0,7.0173383,7.428953,0.37606232821713853,1
